@relation job_matching

@attribute user_java numeric
@attribute user_python numeric
@attribute user_c numeric
@attribute user_c++ numeric
@attribute user_php numeric
@attribute user_javascript numeric
@attribute user_html numeric
@attribute user_css numeric
@attribute user_react numeric
@attribute user_angular numeric
@attribute user_vue numeric
@attribute user_spring numeric
@attribute user_django numeric
@attribute user_flask numeric
@attribute user_sql numeric
@attribute user_mysql numeric
@attribute user_mongodb numeric
@attribute user_oracle numeric
@attribute user_postgresql numeric
@attribute user_git numeric
@attribute user_docker numeric
@attribute user_linux numeric
@attribute user_aws numeric
@attribute user_azure numeric
@attribute user_laravel numeric
@attribute user_informatique numeric
@attribute user_developpement numeric
@attribute user_fullstack numeric
@attribute user_backend numeric
@attribute user_frontend numeric
@attribute user_management numeric
@attribute 'user_gestion de projet' numeric
@attribute user_organisation numeric
@attribute user_leadership numeric
@attribute user_communication numeric
@attribute user_analyse numeric
@attribute user_strategie numeric
@attribute job_java numeric
@attribute job_python numeric
@attribute job_c numeric
@attribute job_c++ numeric
@attribute job_php numeric
@attribute job_javascript numeric
@attribute job_html numeric
@attribute job_css numeric
@attribute job_react numeric
@attribute job_angular numeric
@attribute job_vue numeric
@attribute job_spring numeric
@attribute job_django numeric
@attribute job_flask numeric
@attribute job_sql numeric
@attribute job_mysql numeric
@attribute job_mongodb numeric
@attribute job_oracle numeric
@attribute job_postgresql numeric
@attribute job_git numeric
@attribute job_docker numeric
@attribute job_linux numeric
@attribute job_aws numeric
@attribute job_azure numeric
@attribute job_laravel numeric
@attribute job_informatique numeric
@attribute job_developpement numeric
@attribute job_fullstack numeric
@attribute job_backend numeric
@attribute job_frontend numeric
@attribute job_management numeric
@attribute 'job_gestion de projet' numeric
@attribute job_organisation numeric
@attribute job_leadership numeric
@attribute job_communication numeric
@attribute job_analyse numeric
@attribute job_strategie numeric
@attribute label {0,1}

@data
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
